t,age,age_bucket,gender,dominant_emotion
0.0,22,20s,Man,neutral
0.0,25,20s,Man,fear
0.0,32,30s,Man,angry
0.0,28,20s,Man,neutral
0.0,36,30s,Man,neutral
0.0,31,30s,Man,fear
0.0,28,20s,Man,neutral
0.0,30,30s,Man,sad
0.0,33,30s,Woman,neutral
0.0,29,20s,Man,sad
0.0,31,30s,Man,fear
0.0,25,20s,Man,neutral
0.0,27,20s,Man,fear
0.0,27,20s,Man,neutral
0.0,31,30s,Man,neutral
1.0,27,20s,Woman,neutral
1.0,30,30s,Man,neutral
1.0,24,20s,Man,neutral
1.0,26,20s,Woman,sad
1.0,27,20s,Man,happy
1.0,25,20s,Man,fear
1.0,28,20s,Man,neutral
1.0,28,20s,Woman,sad
1.0,34,30s,Man,angry
1.0,32,30s,Man,neutral
1.0,26,20s,Man,neutral
1.0,30,30s,Man,fear
1.0,25,20s,Man,neutral
1.0,26,20s,Man,sad
1.0,23,20s,Man,sad
1.0,26,20s,Man,angry
1.0,37,30s,Man,neutral
2.0,26,20s,Man,happy
2.0,42,40s,Man,neutral
2.0,27,20s,Woman,happy
2.0,22,20s,Man,neutral
2.0,29,20s,Man,sad
2.0,26,20s,Man,neutral
2.0,31,30s,Woman,neutral
2.0,28,20s,Man,neutral
2.0,29,20s,Man,neutral
2.0,29,20s,Man,neutral
2.0,27,20s,Man,sad
2.0,27,20s,Man,neutral
2.0,29,20s,Man,neutral
3.0,29,20s,Man,fear
3.0,25,20s,Man,neutral
3.0,42,40s,Man,neutral
3.0,32,30s,Woman,happy
3.0,24,20s,Man,neutral
3.0,29,20s,Woman,sad
3.0,29,20s,Man,happy
3.0,33,30s,Woman,neutral
3.0,28,20s,Man,sad
3.0,23,20s,Man,neutral
3.0,24,20s,Man,sad
3.0,39,30s,Man,neutral
3.0,28,20s,Man,neutral
4.0,28,20s,Woman,sad
4.0,35,30s,Man,happy
4.0,25,20s,Man,fear
4.0,28,20s,Man,fear
4.0,25,20s,Man,neutral
4.0,28,20s,Man,happy
4.0,42,40s,Man,neutral
4.0,27,20s,Man,neutral
4.0,28,20s,Man,neutral
4.0,25,20s,Man,surprise
4.0,41,40s,Man,neutral
4.0,33,30s,Woman,neutral
4.0,27,20s,Man,happy
4.0,26,20s,Man,neutral
5.0,29,20s,Woman,sad
5.0,23,20s,Man,sad
5.0,31,30s,Man,neutral
5.0,31,30s,Man,happy
5.0,28,20s,Man,fear
5.0,26,20s,Man,neutral
5.0,43,40s,Man,neutral
5.0,37,30s,Man,sad
5.0,28,20s,Woman,fear
5.0,27,20s,Man,neutral
5.0,29,20s,Woman,sad
5.0,42,40s,Woman,neutral
5.0,31,30s,Man,angry
5.0,31,30s,Man,fear
6.0,25,20s,Man,fear
6.0,41,40s,Man,angry
6.0,31,30s,Man,happy
6.0,26,20s,Man,sad
6.0,34,30s,Woman,happy
6.0,31,30s,Man,sad
6.0,31,30s,Man,happy
6.0,32,30s,Man,neutral
6.0,43,40s,Man,angry
6.0,28,20s,Man,neutral
6.0,31,30s,Woman,neutral
6.0,32,30s,Man,happy
7.0,43,40s,Man,neutral
7.0,27,20s,Man,fear
7.0,31,30s,Man,happy
7.0,31,30s,Man,neutral
7.0,28,20s,Man,happy
7.0,28,20s,Woman,neutral
7.0,25,20s,Man,sad
7.0,47,40s,Man,angry
7.0,34,30s,Man,sad
7.0,26,20s,Man,neutral
7.0,40,40s,Man,neutral
7.0,33,30s,Man,sad
7.0,33,30s,Man,neutral
8.0,39,30s,Man,sad
8.0,25,20s,Man,sad
8.0,31,30s,Man,neutral
8.0,30,30s,Man,neutral
8.0,29,20s,Man,happy
8.0,31,30s,Man,happy
8.0,28,20s,Woman,sad
8.0,26,20s,Man,surprise
8.0,39,30s,Man,angry
8.0,42,40s,Man,neutral
8.0,26,20s,Man,sad
8.0,30,30s,Man,fear
8.0,31,30s,Woman,neutral
9.0,30,30s,Man,fear
9.0,43,40s,Man,neutral
9.0,29,20s,Man,sad
9.0,39,30s,Man,angry
9.0,29,20s,Woman,sad
9.0,31,30s,Man,neutral
9.0,30,30s,Man,happy
9.0,26,20s,Man,neutral
9.0,29,20s,Man,neutral
9.0,26,20s,Man,neutral
9.0,39,30s,Man,fear
9.0,34,30s,Man,neutral
9.0,28,20s,Woman,neutral
9.0,28,20s,Man,neutral
10.0,41,40s,Man,sad
10.0,24,20s,Man,neutral
10.0,35,30s,Man,neutral
10.0,27,20s,Man,happy
10.0,26,20s,Woman,fear
10.0,28,20s,Man,happy
10.0,25,20s,Man,neutral
10.0,26,20s,Man,neutral
10.0,26,20s,Man,neutral
10.0,34,30s,Woman,neutral
10.0,28,20s,Man,happy
