t,age,age_bucket,gender,dominant_emotion
0.0,31,30s,Man,sad
0.0,31,30s,Woman,angry
0.0,31,30s,Man,neutral
0.0,31,30s,Man,neutral
1.0,31,30s,Man,neutral
1.0,33,30s,Man,neutral
1.0,31,30s,Woman,angry
2.0,37,30s,Woman,angry
2.0,32,30s,Woman,sad
2.0,33,30s,Woman,happy
2.0,28,20s,Man,sad
2.0,28,20s,Man,sad
3.0,26,20s,Man,happy
3.0,30,30s,Woman,neutral
3.0,33,30s,Woman,angry
3.0,25,20s,Man,neutral
4.0,28,20s,Man,sad
4.0,22,20s,Man,neutral
4.0,25,20s,Man,fear
4.0,23,20s,Man,sad
4.0,25,20s,Woman,sad
5.0,28,20s,Man,sad
5.0,25,20s,Man,sad
5.0,25,20s,Man,neutral
5.0,27,20s,Woman,fear
5.0,30,30s,Man,neutral
5.0,24,20s,Man,neutral
6.01,30,30s,Man,sad
6.01,26,20s,Man,happy
6.01,24,20s,Man,sad
6.01,29,20s,Woman,fear
6.01,25,20s,Man,fear
6.01,26,20s,Man,sad
7.01,30,30s,Woman,sad
7.01,27,20s,Man,neutral
7.01,24,20s,Man,neutral
7.01,27,20s,Man,fear
7.01,31,30s,Man,happy
8.01,28,20s,Man,neutral
8.01,27,20s,Man,angry
8.01,35,30s,Man,sad
8.01,28,20s,Woman,neutral
8.01,30,30s,Man,sad
8.01,36,30s,Woman,fear
8.01,33,30s,Man,angry
8.01,24,20s,Man,neutral
8.01,30,30s,Woman,fear
8.01,23,20s,Man,sad
8.01,24,20s,Man,sad
