epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.23044,2.08219,2.96596,2.01362,0.00444,1,0.30432,0.11093,2.45151,3.88377,2.15613,0,0,0
2,3.07816,2.21381,2.95227,2.08692,0.00444,1,0.28658,0.10553,2.45151,3.88377,2.15613,0.000660067,0.000660067,0.000660067
3,3.7677,2.13082,2.87042,1.94513,0.00444,1,0.28658,0.10553,2.45151,3.88377,2.15613,0.00130693,0.00130693,0.00130693
4,4.38876,2.31693,2.91506,2.25253,0.00444,1,0.24114,0.09225,2.55606,3.61033,2.19957,0.0019406,0.0019406,0.0019406
5,5.00912,2.07762,2.86576,2.06288,0.00444,1,0.24114,0.09225,2.55606,3.61033,2.19957,0.0019208,0.0019208,0.0019208
6,5.63708,2.00312,2.84238,2.00097,0.00444,1,0.24114,0.09225,2.55606,3.61033,2.19957,0.001901,0.001901,0.001901
7,6.25005,2.10452,2.79449,1.94797,0.00444,1,0.24263,0.09117,2.54333,3.51063,2.18147,0.0018812,0.0018812,0.0018812
8,6.91591,2.06295,2.95322,2.11124,0.00444,1,0.24263,0.09117,2.54333,3.51063,2.18147,0.0018614,0.0018614,0.0018614
9,7.60642,2.1155,2.91604,1.97285,0.00444,1,0.24263,0.09117,2.54333,3.51063,2.18147,0.0018416,0.0018416,0.0018416
10,8.19292,2.32788,2.97468,2.20163,0.00444,1,0.24569,0.08903,2.48961,3.53943,2.18543,0.0018218,0.0018218,0.0018218
11,8.87565,2.13593,2.9389,1.89573,0.00444,1,0.24569,0.08903,2.48961,3.53943,2.18543,0.001802,0.001802,0.001802
12,9.55851,1.87177,2.92781,1.95384,0.00444,1,0.24569,0.08903,2.48961,3.53943,2.18543,0.0017822,0.0017822,0.0017822
13,10.1953,2.50625,3.13774,2.34181,0.00444,1,0.31669,0.12778,2.448,3.69644,2.16,0.0017624,0.0017624,0.0017624
14,10.8523,2.3639,3.08749,2.15829,0.00444,1,0.31669,0.12778,2.448,3.69644,2.16,0.0017426,0.0017426,0.0017426
15,11.5978,1.93426,2.8712,1.91949,0.00444,1,0.31669,0.12778,2.448,3.69644,2.16,0.0017228,0.0017228,0.0017228
16,12.1839,2.15461,2.97202,2.26606,0.00444,1,0.15212,0.06621,2.37124,3.71244,2.20484,0.001703,0.001703,0.001703
17,12.7561,1.78658,2.86723,1.88398,0.00444,1,0.15212,0.06621,2.37124,3.71244,2.20484,0.0016832,0.0016832,0.0016832
18,13.4235,1.97495,3.02028,1.78315,0.00444,1,0.15212,0.06621,2.37124,3.71244,2.20484,0.0016634,0.0016634,0.0016634
19,14.1542,2.06264,2.88722,2.18071,0.00222,0.5,0.0043,0.00102,3.91528,5.44952,4.36356,0.0016436,0.0016436,0.0016436
20,14.9973,2.20087,3.31932,2.26028,0.00222,0.5,0.0043,0.00102,3.91528,5.44952,4.36356,0.0016238,0.0016238,0.0016238
21,15.8851,2.47098,3.42909,2.37155,0.00222,0.5,0.0043,0.00102,3.91528,5.44952,4.36356,0.001604,0.001604,0.001604
22,16.8528,2.50245,3.25933,2.56704,0.00333,0.75,0.01367,0.00146,3.42675,4.75854,4.97781,0.0015842,0.0015842,0.0015842
23,17.7099,2.06113,3.05689,2.20133,0.00333,0.75,0.01367,0.00146,3.42675,4.75854,4.97781,0.0015644,0.0015644,0.0015644
24,18.568,2.45301,3.25107,2.45978,0.00333,0.75,0.01367,0.00146,3.42675,4.75854,4.97781,0.0015446,0.0015446,0.0015446
25,19.3958,2.43822,3.06529,2.41457,0.00222,0.5,0.05146,0.00777,3.39698,4.39318,5.21834,0.0015248,0.0015248,0.0015248
26,20.2695,1.9249,2.72645,2.05173,0.00222,0.5,0.05146,0.00777,3.39698,4.39318,5.21834,0.001505,0.001505,0.001505
27,21.1465,2.16138,2.8933,2.2954,0.00222,0.5,0.05146,0.00777,3.39698,4.39318,5.21834,0.0014852,0.0014852,0.0014852
28,21.9535,1.77016,2.88693,1.8618,0,0,0,0,4.39326,4.74684,10.5332,0.0014654,0.0014654,0.0014654
29,22.8442,2.08778,2.73584,2.17694,0,0,0,0,4.39326,4.74684,10.5332,0.0014456,0.0014456,0.0014456
30,23.6218,2.1824,2.73168,2.20129,0,0,0,0,4.39326,4.74684,10.5332,0.0014258,0.0014258,0.0014258
31,24.4993,2.05725,2.64185,2.19111,0,0,0,0,4.97617,5.39725,25.5985,0.001406,0.001406,0.001406
32,25.3433,1.86263,2.38586,2.09042,0,0,0,0,4.97617,5.39725,25.5985,0.0013862,0.0013862,0.0013862
33,26.198,2.05254,2.61177,2.17557,0,0,0,0,4.97617,5.39725,25.5985,0.0013664,0.0013664,0.0013664
34,27.0556,2.02668,2.37792,2.13905,0.00111,0.25,0.00058,0.0001,4.56042,5.99613,16.6814,0.0013466,0.0013466,0.0013466
35,27.8983,2.21062,2.89753,2.33785,0.00111,0.25,0.00058,0.0001,4.56042,5.99613,16.6814,0.0013268,0.0013268,0.0013268
36,28.8356,1.97297,2.61788,2.11156,0.00111,0.25,0.00058,0.0001,4.56042,5.99613,16.6814,0.001307,0.001307,0.001307
37,29.6464,2.28935,2.51136,2.3658,0.00111,0.25,0.00071,7e-05,4.43611,5.31104,14.0214,0.0012872,0.0012872,0.0012872
38,30.4929,1.91825,2.61614,2.02771,0.00111,0.25,0.00071,7e-05,4.43611,5.31104,14.0214,0.0012674,0.0012674,0.0012674
39,31.3037,1.76531,2.71578,2.03481,0.00111,0.25,0.00071,7e-05,4.43611,5.31104,14.0214,0.0012476,0.0012476,0.0012476
40,32.1627,1.92147,2.51479,2.01096,0,0,0,0,4.30966,5.78425,10.8666,0.0012278,0.0012278,0.0012278
41,33.0977,1.8277,2.33026,2.05884,0,0,0,0,4.30966,5.78425,10.8666,0.001208,0.001208,0.001208
42,33.9393,1.79558,2.55901,1.94155,0,0,0,0,4.30966,5.78425,10.8666,0.0011882,0.0011882,0.0011882
43,34.8623,2.12911,2.78821,2.20728,0,0,0,0,4.51075,5.68243,16.7894,0.0011684,0.0011684,0.0011684
44,35.6013,1.91669,2.44556,1.9693,0,0,0,0,4.51075,5.68243,16.7894,0.0011486,0.0011486,0.0011486
45,36.4184,1.86599,2.36008,2.14013,0,0,0,0,4.51075,5.68243,16.7894,0.0011288,0.0011288,0.0011288
46,37.2904,1.62831,2.24581,1.76661,0,0,0,0,4.40055,18.5983,8.92848,0.001109,0.001109,0.001109
47,38.1503,1.56302,2.16503,1.78529,0,0,0,0,4.40055,18.5983,8.92848,0.0010892,0.0010892,0.0010892
48,39.0075,1.69718,2.22315,1.7696,0,0,0,0,4.40055,18.5983,8.92848,0.0010694,0.0010694,0.0010694
49,39.8431,1.69732,2.2922,1.86493,0.00111,0.25,0.00174,0.00059,3.54447,99.2401,5.91471,0.0010496,0.0010496,0.0010496
50,40.6562,1.73098,2.19819,1.87895,0.00111,0.25,0.00174,0.00059,3.54447,99.2401,5.91471,0.0010298,0.0010298,0.0010298
51,41.4644,1.64234,2.13596,1.73871,0.00111,0.25,0.00174,0.00059,3.54447,99.2401,5.91471,0.00101,0.00101,0.00101
52,42.3235,1.72527,2.37416,1.82294,0.03704,0.25,0.01541,0.00449,3.90141,87.6337,8.43871,0.0009902,0.0009902,0.0009902
53,43.212,1.54144,2.07942,1.79046,0.03704,0.25,0.01541,0.00449,3.90141,87.6337,8.43871,0.0009704,0.0009704,0.0009704
54,44.0726,1.59254,2.07693,1.71367,0.03704,0.25,0.01541,0.00449,3.90141,87.6337,8.43871,0.0009506,0.0009506,0.0009506
55,44.9435,1.51747,2.13277,1.71923,0.0378,0.25,0.04102,0.01283,3.58579,22.844,7.04339,0.0009308,0.0009308,0.0009308
56,45.7386,1.59471,2.01161,1.75435,0.0378,0.25,0.04102,0.01283,3.58579,22.844,7.04339,0.000911,0.000911,0.000911
57,46.532,1.58171,1.85155,1.66974,0.0378,0.25,0.04102,0.01283,3.58579,22.844,7.04339,0.0008912,0.0008912,0.0008912
58,47.3749,1.62814,1.94531,1.7825,0.00111,0.25,0.00179,0.00107,3.65675,7.9064,5.0962,0.0008714,0.0008714,0.0008714
59,48.2657,1.29192,1.89274,1.57326,0.00111,0.25,0.00179,0.00107,3.65675,7.9064,5.0962,0.0008516,0.0008516,0.0008516
60,49.0127,1.73631,2.38188,2.02371,0.00111,0.25,0.00179,0.00107,3.65675,7.9064,5.0962,0.0008318,0.0008318,0.0008318
61,50.0305,1.51992,2.03233,1.74452,0.00111,0.25,0.00178,0.00085,3.93721,5.73505,5.109,0.000812,0.000812,0.000812
62,50.7919,1.43595,2.06492,1.56286,0.00111,0.25,0.00178,0.00085,3.93721,5.73505,5.109,0.0007922,0.0007922,0.0007922
63,51.5594,1.52287,1.94617,1.69166,0.00111,0.25,0.00178,0.00085,3.93721,5.73505,5.109,0.0007724,0.0007724,0.0007724
64,52.3157,1.53663,1.95954,1.74194,0.00111,0.25,0.00645,0.00068,4.33736,4.8976,5.15092,0.0007526,0.0007526,0.0007526
65,53.1744,1.31222,2.12144,1.70792,0.00111,0.25,0.00645,0.00068,4.33736,4.8976,5.15092,0.0007328,0.0007328,0.0007328
66,53.9675,1.37821,1.96712,1.70802,0.00111,0.25,0.00645,0.00068,4.33736,4.8976,5.15092,0.000713,0.000713,0.000713
67,54.8118,1.38951,1.9462,1.58239,0.00111,0.25,0.00557,0.00056,4.87043,4.75238,6.82352,0.0006932,0.0006932,0.0006932
68,55.5885,1.43458,1.71537,1.53423,0.00111,0.25,0.00557,0.00056,4.87043,4.75238,6.82352,0.0006734,0.0006734,0.0006734
69,56.5746,1.31804,1.7821,1.58662,0.00111,0.25,0.00557,0.00056,4.87043,4.75238,6.82352,0.0006536,0.0006536,0.0006536
70,57.3718,1.39078,1.79451,1.50064,0.00111,0.25,0.00044,4e-05,4.79921,4.26381,5.59573,0.0006338,0.0006338,0.0006338
71,58.0874,1.23351,1.77129,1.50069,0.00111,0.25,0.00044,4e-05,4.79921,4.26381,5.59573,0.000614,0.000614,0.000614
72,58.8486,1.47486,2.02706,1.69162,0.00111,0.25,0.00044,4e-05,4.79921,4.26381,5.59573,0.0005942,0.0005942,0.0005942
